"Discount Reason","Quantity","Amount","% of Sales"
"Abi","2.00","$0.68","0.00%"
"Aby","2.00","$3.88","0.00%"
"After 3pm Pastry Discount","29.00","$26.96","0.01%"
"Catering Discount","14.00","$140.00","0.04%"
"Coffee Refill","1.00","$0.25","0.00%"
"Coupon ","2.00","$2.34","0.00%"
"Diana","2.00","$2.60","0.00%"
"Employee Discount - Off Shift","438.00","$690.48","0.18%"
"Employee Discount - On Shift","2551.00","$8,011.11","2.25%"
"Employee Gelato","10.00","$38.90","0.01%"
"Eureka","1.00","$4.50","0.00%"
"For Aby","1.00","$13.00","0.00%"
"For Julia","1.00","$11.00","0.00%"
"Friend","4.00","$2.14","0.00%"
"Friends","3.00","$2.05","0.00%"
"Friends &  Family","7.00","$35.90","0.01%"
"H","1.00","$0.75","0.00%"
"Half","1.00","$1.18","0.00%"
"Half Pound ","1.00","$9.00","0.00%"
"Kris","1.00","$3.95","0.00%"
"Loyalty Card Freebie","971.00","$6,135.84","1.76%"
"Lunch Promo","50.00","$239.44","0.07%"
"Merchandise  Discount","1.00","$4.59","0.00%"
"Mistake Earlier","1.00","$0.65","0.00%"
"Neighbour Discount","348.00","$249.38","0.06%"
"Nelda","8.00","$49.44","0.01%"
"Owners","10.00","$29.12","0.01%"
"Paid","1.00","$11.95","0.00%"
"Paint & Coffee Promo","1.00","$0.89","0.00%"
"Partner 9rounds","2.00","$1.00","0.00%"
"Partner Discount","2.00","$1.50","0.00%"
"Physio","3.00","$2.20","0.00%"
"Promo","52.00","$449.20","0.13%"
"Promotion ","1.00","$25.00","0.01%"
"Qsa","2.00","$5.70","0.00%"
"Replublica ","4.00","$2.98","0.00%"
"Sample For Catering","2.00","$14.90","0.00%"
"Sfu Soirée X Envision Promotion","4.00","$100.00","0.03%"
"Snap Fitness","1.00","$1.30","0.00%"
"Special Order","11.00","$5.82","0.00%"
"Staff: Aby","1.00","$2.50","0.00%"
"Staff: Biju","4.00","$18.98","0.01%"
"Staff: Felicia","1.00","$4.98","0.00%"
"Training","2.00","$0.00","0.00%"
"Weekly Draw","1.00","$5.95","0.00%"
"REPORT SUMMARY (45 entries)","4556.00","$16,363.98","4.59%"
